Probe	5-FU	AraC	Bleomycin	Camptothecin	Cisp	Etoposide	Hydrogen Peroxide	Hydroxyurea	Methotrexate	MMS	Potassium Chromate (VI)	Sodium Arsenite	X-ray	2-deoxy-D-glucose (2-DG)	Aapicidin	Antimycin A	Cadmium Chloride	Colchicine	Docetaxel	EtOH 2%	EtOH 4%	HC toxin	Heat Shock	Oxamflatin	Paclitaxel	Thapsigargin	TSA	Tunicamysin	Vinblastin
ACTA2	0.001926613	0.15453229	0.290304873	0.084226878	0.190019716	0.182649788	0.333947243	0.088884153	0.04201524	0.155649529	0.122013608	0.483750095	0.177082162	-0.051982791	-0.023987106	0.193707982	0.063819649	-0.086609175	0.019175909	0.058031018	-0.093971372	0.029624282	0.037731627	0.040061885	-0.045086879	0.032473665	0.04542313	0.051733543	-0.086475988
AEN	0.178590419	0.388652639	0.431461447	0.308173836	0.229341104	0.18617159	0.20786817	0.34063038	0.06624174	0.259343513	0.244738397	0.363514129	0.303085468	0.004654002	-0.290059676	-0.135618103	-0.10567113	-0.039064716	-0.010360068	-0.143382704	0.02364665	-0.209973761	-0.147272586	-0.231406828	-0.008294093	-0.006820003	-0.145746124	0.037081185	-0.048107483
ARRDC4	0.062890206	0.437841105	0.562620659	0.15453652	0.221790918	0.35340581	0.660171818	0.21670471	-0.025824791	0.015602138	0.276977117	0.106730514	0.29218601	-0.054585572	-0.057408044	0.032062475	-0.033306305	-0.001222829	0.041226573	0	0	0.05049294	0.036194355	0.011657169	0.085931522	0.038014873	-0.170058519	-0.099943812	-0.009454402
B3GNT2	-0.185059781	-0.076156199	-0.083427855	-0.309204309	-0.324415917	-0.152028014	0.035442252	-0.061849797	-0.159565958	-0.250317906	-0.230571357	0.150203184	-0.139672601	0.183426911	0.121134754	0.430345975	0.395513925	0.01187637	-0.009685783	0.193981701	0.048972436	0.112749465	-0.210545624	0.091060189	-0.046823255	0.054831136	0.045089957	0.166766639	0.029874191
BLOC1S2	0.286160282	0.324303961	0.350870191	0.270117358	0.323284353	0.342281404	0.123548155	0.257937422	0.130926588	0.197239543	0.200450793	0.423659133	0.346799043	-0.019693356	-0.137310906	-0.064866505	-0.055726684	-0.026953512	0.01749299	0.067986003	0.002604668	-0.11351253	-0.071479444	-0.090814342	-0.017738155	0.071094442	-0.023232035	-0.005204823	0.00258358
BRMS1L	0.162307014	0.311533243	0.336202728	0.196430777	0.174226535	0.219656289	-0.001075049	0.269419377	0.087587139	-0.031322724	0.08439539	0.099344464	0.281434242	-0.09573488	0.040629434	-0.183728898	0.169306245	-0.05486079	0.000304005	0.160673181	0.036326838	0.141594532	-0.091383742	0.078267652	-0.068111044	0.033499354	0.068103068	-0.116220847	-0.050341302
BTG2	0.505451195	0.381445467	0.512381756	0.36064465	0.511788023	0.235598678	0.434196792	0.38363491	0.369698902	0.224611184	0.338167603	0.205071308	0.294563046	-0.124779764	0.221009717	0.040529348	-0.011446282	0.088498218	-0.032237576	0.020498891	-0.08104722	0.140601516	0.038709068	0.130279197	0.01485034	0.048393585	0.01495688	0.027403568	0.132493367
C12orf5	0.351422729	0.399156847	0.459515463	0.291340007	0.254220994	0.294672904	0.070198256	0.372829009	0.053039364	0.143224643	0.196853202	0.236992054	0.348715807	-0.064526826	0.174435876	-0.114888657	-0.133001571	-0.009449433	0.007013043	-0.028208031	-0.01862816	0.158590455	-0.113837388	0.120314066	-0.024653897	-0.038579093	0.029952654	0.000759979	0.031442891
CBLB	-0.067954472	-0.079736213	-0.047924416	-0.374783796	-0.133016163	-0.104218115	-0.047789517	-0.106520506	-0.108800128	-0.13561992	-0.222905163	0.005943672	-0.161558274	0.120198961	0.094676855	0.080066408	0.056773648	0.106696325	0.051155134	-0.15548372	-0.058605299	0.044482711	-0.025955311	0.12477765	0.031681625	0.135377856	0.068463463	0.145525698	0.115579581
CCP110	0.181497592	0.281929168	0.273663828	0.211966075	0.212400695	0.150960793	0.111809915	0.257652558	0.070912718	0.156387774	0.049095385	0.13498564	0.146946107	-0.044911405	0.00613919	-0.164900776	-0.050704018	0.044836278	-0.005885903	0.007672015	-0.086350005	-0.010960245	-0.113551657	0.014638716	0.002295587	0.023102579	-0.003643156	-0.00452136	0.012037393
CDKN1A	0.684382355	0.421079641	0.642638096	0.242379418	0.448744514	0.376752666	0.462066981	0.359344545	0.236830432	0.29133248	0.396423298	0.575848111	0.398466816	0.001304919	0.338958689	0.18451584	0.156909658	0.031325088	0.016881478	0.092337164	0.095796793	0.249268091	0.008674026	0.185471354	-0.043903587	0.108374821	0.184144907	0.060825588	-0.03391326
CEBPD	-0.033644459	0.143808435	-0.058362463	0.215244849	0.229126477	-0.059954814	-0.033860207	0.075840115	0.00059665	0.070655185	-0.035494156	0.014528298	-0.211592269	-0.411842894	-0.790452698	-0.387917414	-0.016311534	-0.074822888	-0.068970241	0.009227146	-0.03334026	-0.500548209	-0.070804503	-0.581913181	-0.135200356	0.128093052	-0.271735376	-0.406153226	0.019547906
CENPE	-0.129202835	-0.118066588	-0.067359098	-0.262064803	-0.16317459	-0.08877119	-0.235779592	-0.114240181	-0.402589304	-0.03592301	-0.28537268	-0.071694581	-0.232852079	-0.015500156	0.069248861	-0.088982736	-0.068552654	0.105001762	0.08805321	0.141078537	-0.040673277	0.050997024	-0.039006595	0.085186689	0.014741941	-0.061574834	0.126734552	-0.012542811	0.156158734
COIL	0.043846146	0.113199515	0.099754268	0.094615319	0.081169641	0.008597844	-0.055108671	0.033983202	-0.094504928	-0.118961683	-0.024483204	0.068144366	0.009849875	0.025599332	-0.568568781	-0.093096633	-0.177931748	-0.088509874	0.012525234	0.029817342	-0.070956313	-0.429523059	-0.158034835	-0.53585547	-0.038237253	-0.179041403	-0.344322034	-0.09704125	-0.033135159
DAAM1	-0.106670452	-0.04335161	-0.013325683	-0.208422546	-0.095763315	0.022742676	-0.023693598	-0.073085243	0.051209029	-0.011890218	-0.19502022	0.141230551	-0.094974	0.131190301	0.418240497	0.160369748	0.141057064	0.257973918	0.016834626	0.146005436	0.022855434	0.35910525	-0.101443208	0.454497994	-0.030545278	0.436474042	0.384489745	0.137325803	0.194119761
DCP1B	0.153805382	0.260946003	0.319268757	0.213285093	0.194528952	0.173191013	0.187297707	0.193198777	0.145978767	0.109145184	-0.019398497	0.205408656	0.233647632	-0.031077622	-0.115125849	-0.009866037	-0.079181703	-0.061037157	0.028268619	0.013297955	-0.021889226	-0.075015328	-0.045839118	-0.015427377	-0.028683255	-0.017777396	0.014612588	0.027481399	-0.042276357
DDB2	0.274425558	0.314640344	0.422502125	0.248327724	0.273141089	0.3813773	0.264294841	0.277977483	0.120826424	0.174271485	0.149947158	0.119173575	0.401941291	-0.062276228	-0.061514673	0.082018981	-0.059005381	-0.012788078	0.027418643	0.055563479	-0.038041529	-0.013142627	0.026692867	-0.04302689	-0.027098816	0.005800499	-0.004285412	0.047157853	-0.029898609
DUSP14	0.194883497	0.269445905	0.285755115	0.231874779	0.221920863	0.128890646	0.198727704	0.227908558	0.068974133	0.096585566	0.171014318	-0.022312674	0.239944818	-0.028500488	0.075416461	-0.044455152	-0.029913947	0.018025899	-0.005361202	0.025578294	0.17037845	0.071253981	-0.02470609	0.145916757	-0.023295865	0.160523916	0.057259908	-0.04096163	0.033703097
