ID	name	Genotoxic-score	Non-Genotoxic-score	av-rank-in-CV	prop-selected-in-CV	my.train$sd
ACTA2	ACTA2	0.3895	-0.3296	54.5	1	0.198403136
AEN	AEN	0.8952	-0.7575	7.8	1	0.216786892
ARRDC4	ARRDC4	0.554	-0.4688	34.3	1	0.269665846
B3GNT2	B3GNT2	-0.513	0.434	39.9	1	0.243409901
BLOC1S2	BLOC1S2	0.9074	-0.7678	7.1	1	0.182310618
BRMS1L	BRMS1L	0.509	-0.4307	41.2	1	0.218519521
BTG2	BTG2	0.8538	-0.7224	10	1	0.206901972
C12orf5	C12orf5	0.6351	-0.5374	23.5	1	0.225288872
CBLB	CBLB	-0.617	0.5221	24.7	1	0.182955208
CCP110	CCP110	0.6383	-0.5401	22.4	1	0.174623413
CDKN1A	CDKN1A	0.7021	-0.5941	17.8	1	0.243437029
CEBPD	CEBPD	0.5021	-0.4249	41.5	1	0.327948833
CENPE	CENPE	-0.5462	0.4621	34.8	1	0.203300429
COIL	COIL	0.4245	-0.3592	51.6	1	0.273188589
DAAM1	DAAM1	-0.57	0.4823	31.5	1	0.257656765
DCP1B	DCP1B	0.7629	-0.6455	14.6	1	0.161300043
DDB2	DDB2	0.8717	-0.7376	9.2	1	0.181249754
DUSP14	DUSP14	0.4979	-0.4213	42.3	1	0.18107769
E2F7	E2F7	0.9433	-0.7982	5.1	1	0.190295356
E2F8	E2F8	0.6696	-0.5666	19.4	1	0.236683428
EI24	EI24	0.5449	-0.4611	34.9	1	0.174471691
FAM123B	FAM123B	0.6079	-0.5144	25.8	1	0.223917377
FBXO22	FBXO22	0.695	-0.5881	17.1	1	0.15752166
GADD45A	GADD45A	0.6457	-0.5464	22.6	1	0.242664719
GXYLT1	GXYLT1	0.3679	-0.3113	55.3	1	0.157334198
HIST1H1E	HIST1H1E	-0.4708	0.3984	45.1	1	0.311311669
HIST1H2BB	HIST1H2BB	-0.2762	0.2337	59.8	1	0.326182761
HIST1H2BC	HIST1H2BC	-0.3179	0.269	56.9	1	0.328576434
HIST1H2BG	HIST1H2BG	-0.3252	0.2752	55.2	1	0.349431335
HIST1H2BI	HIST1H2BI	-0.2628	0.2224	61.2	1	0.332690089
HIST1H2BM	HIST1H2BM	-0.2752	0.2329	60.1	1	0.355779486
HIST1H2BN	HIST1H2BN	-0.218	0.1845	62.8	1	0.218500879
HIST1H3D	HIST1H3D	-0.3237	0.2739	56.4	1	0.244396308
ID2	ID2	-0.5116	0.4329	40.5	1	0.275496757
IKBIP	IKBIP	0.6254	-0.5292	23.5	1	0.197972132
ITPKC	ITPKC	0.4598	-0.3891	48.7	1	0.169549782
ITPR1	ITPR1	-0.5725	0.4844	30.5	1	0.232773223
LCE1E	LCE1E	0.7035	-0.5952	17.9	1	0.312416332
LRRFIP2	LRRFIP2	-0.5148	0.4356	39.2	1	0.203927825
MDM2	MDM2	0.8071	-0.6829	12.4	1	0.196903887
MEX3B	MEX3B	0.4565	-0.3863	47.5	1	0.218491011
NLRX1	NLRX1	0.4691	-0.397	47.2	1	0.208257531
PCDH8	PCDH8	0.8288	-0.7013	11	1	0.258922159
PHLDA3	PHLDA3	1.0259	-0.8681	2.8	1	0.211442463
PLK3	PLK3	0.4675	-0.3956	47.5	1	0.256450066
PPM1D	PPM1D	1.1313	-0.9572	1.2	1	0.176351709
PRKAB1	PRKAB1	1.1057	-0.9356	2	1	0.205533748
PRKAB2	PRKAB2	0.4991	-0.4223	42.5	1	0.19527471
PTGER4	PTGER4	-0.6048	0.5118	26.9	1	0.259978228
RAPGEF2	RAPGEF2	-0.5772	0.4884	29.8	1	0.226287667
RBM12B	RBM12B	0.5209	-0.4407	38.7	1	0.182128272
RPS27L	RPS27L	0.5567	-0.4711	33.1	1	0.183472923
RRM2B	RRM2B	0.6007	-0.5083	28.1	1	0.272242208
SEL1L	SEL1L	-0.3013	0.2549	58.6	1	0.242394732
SEMG2	SEMG2	0.4144	-0.3507	52.2	1	0.233760215
SERTAD1	SERTAD1	0.9273	-0.7847	6.2	1	0.252867208
SMAD5	SMAD5	0.5004	-0.4234	42.4	1	0.211049813
TM7SF3	TM7SF3	0.607	-0.5136	26.3	1	0.173816425
TNFRSF17	TNFRSF17	0.5502	-0.4656	34.3	1	0.357411379
TOPORS	TOPORS	0.4821	-0.4079	45.1	1	0.236195724
TP53I3	TP53I3	0.7029	-0.5947	16.9	1	0.198207248
TRIAP1	TRIAP1	0.912	-0.7717	6.3	1	0.231902284
TRIM22	TRIM22	0.8468	-0.7165	10.3	1	0.234242743
USP41	USP41	0.077237042	0.011720961	65	1	0.09086917

